step_start,step_end,all_fail_group_fraction,all_pass_group_fraction,mean_reward,mean_completion_length,mean_unsupported_citations,mean_missing_required_citations,mean_clipped_ratio,mean_kl,mean_entropy
1,50,0.445,0.02,0.22698076923076924,841.69,18.08,4.68,0.2159375,0.0005214520496883779,0.6245487878657877
51,100,0.41,0.02,0.24515053050397878,843.454375,17.08,5.82,0.23375,0.0005401134812564124,0.6068923095613719
101,150,0.375,0.01,0.2364186872909699,852.13,17.84,5.74,0.22125,0.0005498159861963359,0.625000721681863
151,200,0.4,0.01,0.25517840719063545,842.89375,17.56,5.38,0.24125,0.0005405412081017858,0.6083028383646161
201,250,0.39,0.005,0.24699101170568563,851.974375,17.22,6.02,0.226875,0.0005456828711976414,0.6149902980029583
251,300,0.42,0.005,0.2545769230769231,836.5475,17.2,5.98,0.225,0.0005572501907226979,0.6145433055981994
301,350,0.385,0.03,0.24480027173913044,845.83375,17.58,5.9,0.2196875,0.0005477855848766922,0.6104296414367855
351,400,0.425,0.03,0.2306731958539961,846.68625,17.74,5.68,0.226875,0.0005519097299657006,0.6233402842655777
401,450,0.375,0.02,0.26303616220735787,828.60625,18.12,5.64,0.204375,0.0005549171173879586,0.6203146142698824
451,500,0.4,0.015,0.25910158862876254,850.84125,16.52,5.56,0.244375,0.0005456601113837678,0.6078806723095477
501,550,0.415,0.015,0.2408284908026756,851.220625,17.86,5.48,0.2175,0.0005520304025958466,0.6317973608337343
551,600,0.4,0.02,0.26134375,836.723125,17.84,4.86,0.221875,0.0005535204538500693,0.6280794505216182
